question,bloom_level,source, language
"""Economists state that both allocative and productive efficiencies are realized in the long-run equilibrium of a monopolistically competitive market"". State whether you agree or disagree with the statement. Graphically illustrate and explain the statement.",Analyze,figshare_exam_questions,en
"""Investment strategies used by the investors of futures and forward markets help to maintain market efficiency"". Based on the above statement, differentiate THREE (3) main investment strategies used by futures and forward markets' investors.",Analyze,figshare_exam_questions,en
"""Trading strategies used by investors of futures and forwards markets help to maintain market efficiency"". Based on the above statement, Differentiate between all THREE (3) main trading strategy used by futures and forward markets' investors..",Analyze,figshare_exam_questions,en
Analyse the behavior of subsoil of coarse grained non-cohesive soils and fine grained cohesive soils.,Analyze,figshare_exam_questions,en
Analyse the usage of a reading passages to enhance reading and thinking skills for Form 4 students with a high proficiency level.,Analyze,figshare_exam_questions,en
Analyze FIVE (5) disadvantages of multimedia in education.,Analyze,figshare_exam_questions,en
Analyze FOUR (4) advantages of mobile assisted learning as an emerging digital technology used in teaching and learning.,Analyze,figshare_exam_questions,en
Analyze SIX (6) types of modern construction problems as to how they negatively impact the various building functions.,Analyze,figshare_exam_questions,en
Analyze THREE (3) factors that can affect the option premium.,Analyze,figshare_exam_questions,en
Analyze a distinction. State the point of view of . . .,Analyze,figshare_exam_questions,en
"Analyze a work of art in terms of form, color and texture.",Analyze,figshare_exam_questions,en
Analyze and discuss the challenges and opportunities that social media creates.,Analyze,figshare_exam_questions,en
Analyze and discuss the conceptual influence of the philosophy on education today.,Analyze,figshare_exam_questions,en
Analyze and explain the critical purpose of the components design of a raking shore to avoid façade retention failure.,Analyze,figshare_exam_questions,en
Analyze safe and dangerous aspects of these features.,Analyze,figshare_exam_questions,en
Analyze the causes of infant mortality during and after production.,Analyze,figshare_exam_questions,en
Analyze the characteristics of frogs.,Analyze,figshare_exam_questions,en
Analyze the effect of similarity-dissimilarity on attraction by using TWO (2) theories.,Analyze,figshare_exam_questions,en
Analyze the following questionnaire.,Analyze,figshare_exam_questions,en
Analyze the movements and sounds of a frog.,Analyze,figshare_exam_questions,en
"Analyze the problem, identifying its variables.",Analyze,figshare_exam_questions,en
Analyze the product-market options that are available to Associated Meats Sdn Bhd.,Analyze,figshare_exam_questions,en
Analyze the purpose of having a Purchasing Department in an organization.,Analyze,figshare_exam_questions,en
Analyze the roles of web container or servlet container in a web server in the context of request response model.,Analyze,figshare_exam_questions,en
Analyze the selected information.,Analyze,figshare_exam_questions,en
Break down the components of a standard film camera and explain how they interact to make the machine work.,Analyze,figshare_exam_questions,en
Break down the main actions of the story.,Analyze,figshare_exam_questions,en
Briefly analyse the SIX (6) internal control procedures over the payroll process of a multinational organisation.,Analyze,figshare_exam_questions,en
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analyze,figshare_exam_questions,en
"By drawing appropriate diagrams, differentiate between flat file model and database model.",Analyze,figshare_exam_questions,en
Can you analyze the fractures and determine which should be repaired surgically,Analyze,figshare_exam_questions,en
Can you compare your . . . with that presented in . . .?,Analyze,figshare_exam_questions,en
Can you differentiate between ethnic Chinese and ethnic Koreans,Analyze,figshare_exam_questions,en
Can you discriminate the difference parts . . . ?,Analyze,figshare_exam_questions,en
Can you distinguish aged rums from unaged rums by smell,Analyze,figshare_exam_questions,en
Can you distinguish between . . .?,Analyze,figshare_exam_questions,en
Can you distinguish for me between what is reasonably achievable and what are exaggerations,Analyze,figshare_exam_questions,en
Can you distinguish pot still rums from column still rums by taste,Analyze,figshare_exam_questions,en
Can you explain what must have happened when . . .?,Analyze,figshare_exam_questions,en
Can you find four different feelings Pa Lia had during the story?,Analyze,figshare_exam_questions,en
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analyze,figshare_exam_questions,en
Categorize the story into parts and think of a good title for each of the parts.,Analyze,figshare_exam_questions,en
Compare FOUR (4) point of views of entrepreneurs with FOUR (4) for managers the way they look at the things.,Analyze,figshare_exam_questions,en
Compare Zener breakdown with avalanche breakdown in a pn junction and state THREE differences. Name a device that utilizes each breakdown mode.,Analyze,figshare_exam_questions,en
Compare and contrast Address Verification System (AVS) and Card verification number (CVN).,Analyze,figshare_exam_questions,en
Compare and contrast Manufacturing Resource Planning (MRP-II) and Lean Manufacturing.,Analyze,figshare_exam_questions,en
Compare and contrast animals that the class has made.,Analyze,figshare_exam_questions,en
Compare and contrast between low context cultures and high context cultures.,Analyze,figshare_exam_questions,en
